Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,09/20/2023,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-2.99,ACH_DEBIT,65324.26,,
DEBIT,09/18/2023,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-6.99,ACH_DEBIT,65327.25,,
DEBIT,09/15/2023,"Online Transfer to CHK ...3687 transaction#: 18456675185 09/15",-1000.00,ACCT_XFER,65334.24,,
DEBIT,09/14/2023,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-18.99,ACH_DEBIT,66334.24,,
DEBIT,09/11/2023,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-6.99,ACH_DEBIT,66353.23,,
DEBIT,09/11/2023,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-21.99,ACH_DEBIT,66360.22,,
CREDIT,09/08/2023,"SHEPHERD LABS    PAYROLL                    PPD ID: 9117571000",4020.28,ACH_CREDIT,66382.21,,
DEBIT,09/05/2023,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-6.99,ACH_DEBIT,62361.93,,
DEBIT,09/05/2023,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-57.98,ACH_DEBIT,62368.92,,
CREDIT,09/05/2023,"PAYPAL           TRANSFER                   PPD ID: PAYPALSD11",29.20,ACH_CREDIT,62426.90,,
CREDIT,08/31/2023,"INTEREST PAYMENT",1.03,MISC_CREDIT,62397.70,,
DEBIT,08/28/2023,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-21.99,ACH_DEBIT,62396.67,,
DEBIT,08/28/2023,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-6.99,ACH_DEBIT,62418.66,,
CREDIT,08/25/2023,"SHEPHERD LABS    PAYROLL                    PPD ID: 9117571000",4020.28,ACH_CREDIT,62425.65,,
DEBIT,08/22/2023,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-79.99,ACH_DEBIT,58405.37,,
DEBIT,08/21/2023,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-2.99,ACH_DEBIT,58485.36,,
DEBIT,08/21/2023,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-21.99,ACH_DEBIT,58488.35,,
DEBIT,08/18/2023,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-128.97,ACH_DEBIT,58510.34,,
CREDIT,08/18/2023,"PAYPAL           TRANSFER                   PPD ID: PAYPALSD11",11.74,ACH_CREDIT,58639.31,,
DEBIT,08/17/2023,"Payment to Chase card ending in 9870 08/17",-6400.57,LOAN_PMT,58627.57,,
DEBIT,08/14/2023,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-15.99,ACH_DEBIT,65028.14,,
DEBIT,08/14/2023,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-6.99,ACH_DEBIT,65044.13,,
DEBIT,08/14/2023,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-21.99,ACH_DEBIT,65051.12,,
